أداة تنكير	یک (حرف تعریف نامعین)	adat tankir
واحد	یک (حرف تعریف نامعین)	vahed
المِعداد	چرتکه	al-medad
أباكوس	چرتکه	abakus
يترك	رها کردن؛ ترک کردن	yatrak
يتخلّى عن	رها کردن؛ ترک کردن	yatakhalli an
التّرك	ترک؛ رهاسازی	al-tarak
التخلي عن	ترک؛ رهاسازی	al-takhli an
تخفيف	کاهش؛ فروکش	takhfif
انخفاض	کاهش؛ فروکش	enkhefaz
الدّير	خانقاه	al-dir
الكنيسة	خانقاه	al-kanisa
الأبجدية	الفبا؛ مبانی اولیه	al-abjadia
الحروف الأبجدية	الفبا؛ مبانی اولیه	al-horuf alabjadia
يتخلى	کناره‌گیری کردن؛ واگذار کردن	yatakhali
يتنازل	کناره‌گیری کردن؛ واگذار کردن	yatanazl
البطن	شکم؛ بطن	al-batan
الجوف	شکم؛ بطن	al-juf
بطني	شکمی؛ بطنی	batni
جوفي	شکمی؛ بطنی	jufi
اخطف	ربودن	akhtaf
يبعد عن	ربودن	yabaad an
المختطف	آدمدزد؛ آدمربا	al-mokhtatef
المُبْعِد عن	آدمدزد؛ آدمربا	al-mobed an
تعليق مؤقت	بی تکلیفی	taligh moghat
توقيف لمدة محدودة	بی تکلیفی	toghif lamdat mahduda
الإقامة	وفا کننده	al-eghama
الإلتزام	وفا کننده	al-eltazam
القدرة	توانایی	al-ghadara
اقتدار	توانایی	eghtedar
ذليل	خوار و زار	zalil
حقير	خوار و زار	haghir
مشتعل	افروخته	moshtael
ملتهب	افروخته	moltaheb
قادر	قادر	ghader
مؤهّل	قادر	moohhal
الزّهد	کف نفس	al-zahd
التّنازل	کف نفس	al-tanazl
شاذّ	غیر عادی	shazz
غير طبيعي	غیر عادی	gheyr tabii
شذوذ	نابههنجاری	shozuz
خلل	نابههنجاری	khelal
المنزل	بودباش	al-manzel
المسكن	بودباش	al-maskon
ألغ	لغو کردن	algh
يلغي	لغو کردن	yalghi
الإلغاء	نسخ؛ برانداختگی	al-elgha
الإبطال	نسخ؛ برانداختگی	al-ebtal
بغيض	مکروه	beghiz
كريه	مکروه	kariye
رجس	عمل شنیع	rajs
شيء بغيض	عمل شنیع	shey beghiz
اجهض	سقط کردن؛ ریشه نکردن	ajhaz
أحبط	سقط کردن؛ ریشه نکردن	ahbat
الإجهاض	سقط جنین	al-ejhaz
الإسقاط	سقط جنین	al-esghat
فاشل	عقیم	fashel
غير مكتمل	عقیم	gheyr moktamel
يكثر	زیاد بودن؛ وفور داشتن	yakasar
يزخر	زیاد بودن؛ وفور داشتن	yazkhar
تقريبًا	درباره، حدوداً	taghribana
حوالي	درباره، حدوداً	havali
لأعلى	بالای، بالاتر	laali
أعلاه	بالای، بالاتر	alah
السيد إبراهيم أبو الأنبياء	ابراهیم؛ ابراهیم پیامبر	al-sid ebrahim abu alanbia
الجرح	خراش؛ سیش	al-jarh
الحك	خراش؛ سیش	al-hak
اختصر	مجمل؛ تلخیص شده	akhtasr
مختصر	مجمل؛ تلخیص شده	mokhtasar
بالخارج	خارج از کشور	balkharaj
باتساع	خارج از کشور	batsa
مفاجئ	تند؛ ناگهان	mafaji
متقطع	تند؛ ناگهان	moteghatte
فجأةً	بی مقدمه	fajatan
على عجل	بی مقدمه	ali ajl
الدّمّل	آبسه	al-daml
خرّاج	آبسه	kharraj
الغياب	غیبت	al-ghyab
انعدام	غیبت	enedam
غائب	غایب	ghaeb
مفقود	غایب	mafghud
الغائب	غیب؛ غیابی	al-ghaeb
المتغيّب	غیب؛ غیابی	al-moteghayyeb
مطلق	مطلق؛ محض	motlagh
حتمي	مطلق؛ محض	hatmi
تماماً	مطلقا؛ مطلقاً	tamaman
إطلاقاً	مطلقا؛ مطلقاً	etlaghan
امتصّ	جذب کردن	amtass
تشرّب	جذب کردن	tasharrob
ممتصّ	جاذب؛ نشاف	mamatass
ماص	جاذب؛ نشاف	mas
الانهماك	جذب؛ انجذاب	al-enhemak
الإمتصاص	جذب؛ انجذاب	al-emtasas
امتنع	نکول کردن؛ خودداری کردن	amtan
يمتنع	نکول کردن؛ خودداری کردن	yamatan
الامتناع	نکول	al-emtena
إقلاع عن	نکول	eghla an
الخلاصة	انتزاعی	al-khalasa
تجريدي	انتزاعی	tajridi
الفكرة المجرّدة	انتزاع؛ تجرید	al-fakarat almajarrada
تجريد	انتزاع؛ تجرید	tajrid
صعب	غامض؛ مغلق	sab
عميق	غامض؛ مغلق	amigh
أحمق	پوچ	ahmagh
باطل	پوچ	batel
السّخف	مزخرف بودن	al-sakhf
حماقة	مزخرف بودن	hamagha
الكثرة	فراوانی	al-kasara
غزارة	فراوانی	ghazara
وفير	انبوه؛ وافر	vafir
غزير	انبوه؛ وافر	ghazir
بوفرة	بفراوانی	bufra
بغزارة	بفراوانی	beghazara
سوء الاستغلال	سوء استفاده	sue alesteghlal
ابتذال	سوء استفاده	ebtezal
بذيء	فحاش؛ سوء استعمال	bazi
سفيه	فحاش؛ سوء استعمال	safih
الهاوية	مغاک؛ حضیض	al-havia
جهنم	مغاک؛ حضیض	jahannam
الاكاشا	اقاقیا	al-akasha
نبات	اقاقیا	nabat
الأكاديميّ	تحصیلی؛ آکادمیک	al-akadimyy
أدبي	تحصیلی؛ آکادمیک	adbi
الأكاديميّة	آکادمی	al-akadimyya
مؤسسة علمية	آکادمی	mosasat almia
سرّع	تسریع کردن	sarra
عجّل	تسریع کردن	ajjal
اللّكنة	لهجه	al-lakna
لهجة	لهجه	lahja
اقبل	پذیرفتن	aghbal
رضي	پذیرفتن	razi
