ein	یک (حرف تعریف نامعین)	ain
eine	یک (حرف تعریف نامعین)	aine
Abakus	چرتکه	abakus
Rechenbrett	چرتکه	rehenbrett
aufgeben	رها کردن؛ ترک کردن	aufgeben
verlassen	رها کردن؛ ترک کردن	verlassen
Aufgabe	ترک؛ رهاسازی	aufgabe
Verlassen	ترک؛ رهاسازی	verlassen
Verringerung	کاهش؛ فروکش	verringerunk
Minderung	کاهش؛ فروکش	minderunk
Abtei	خانقاه	abtai
Kloster	خانقاه	kloster
Alphabet	الفبا؛ مبانی اولیه	alfabet
Grundlagen	الفبا؛ مبانی اولیه	grundlagen
abdanken	کناره‌گیری کردن؛ واگذار کردن	abdanken
auf ein Amt verzichten	کناره‌گیری کردن؛ واگذار کردن	auf ain amt vertsihten
Bauch	شکم؛ بطن	bauh
Unterleib	شکم؛ بطن	unterlaib
abdominal	شکمی؛ بطنی	abdominal
den Bauch betreffend	شکمی؛ بطنی	den bauh betreffend
entführen	ربودن	entfuehren
Entführer	آدمدزد؛ آدمربا	entfuehrer
Abduktor	آدمدزد؛ آدمربا	abduktor
Schwebezustand	بی تکلیفی	shvebetsustand
dauerhaft	وفا کننده	dauerhaft
beständig	وفا کننده	bestendik
Fähigkeit	توانایی	fehigkait
erbärmlich	خوار و زار	erbermlih
niederträchtig	خوار و زار	nidertrehtik
in Flammen	افروخته	in flammen
fähig	قادر	fehik
Selbstverleugnung	کف نفس	tselbstverloygnunk
anomal	غیر عادی	anomal
regelwidrig	غیر عادی	regelvidrik
Abweichung	نابههنجاری	abvaihunk
Regelwidrigkeit	نابههنجاری	regelvidrigkait
Wohnsitz	بودباش	vohnsits
abschaffen	لغو کردن	abshaffen
Abschaffung	نسخ؛ برانداختگی	abshaffunk
verabscheuungswürdig	مکروه	verabshoyungsvuerdik
verhasst	مکروه	verhasst
Abscheulichkeit	عمل شنیع	abshoylihkait
abbrechen	سقط کردن؛ ریشه نکردن	abbrehen
Abtreibung	سقط جنین	abtraibunk
erfolglos	عقیم	erfolglos
fehlgeschlagen	عقیم	fehlgeshlagen
im Überfluss vorhanden sein	زیاد بودن؛ وفور داشتن	im ueberfluss vorhanden sain
über	درباره، حدوداً	ueber
ungefähr	درباره، حدوداً	ungefehr
oben	بالای، بالاتر	oben
Abraham	ابراهیم؛ ابراهیم پیامبر	abraham
Abrasion	خراش؛ سیش	abrasion
gekürzt	مجمل؛ تلخیص شده	gekuertst
im Ausland	خارج از کشور	im ausland
plötzlich	تند؛ ناگهان	ploetslih
schroff	تند؛ ناگهان	shroff
Abszess	آبسه	abstsess
Abwesenheit	غیبت	abvesenhait
abwesend	غایب	abvesend
Abwesender	غیب؛ غیابی	abvesender
Fehlender	غیب؛ غیابی	fehlender
absolut	مطلق؛ محض	absolut
total	مطلقا؛ مطلقاً	total
