un	یک (حرف تعریف نامعین)	un
une	یک (حرف تعریف نامعین)	un
abaque	چرتکه	abak
boulier	چرتکه	bulue
abandonner	رها کردن؛ ترک کردن	abandone
délaisser	رها کردن؛ ترک کردن	delese
abandon	ترک؛ رهاسازی	abandon
délaissement	ترک؛ رهاسازی	delesman
réduction	کاهش؛ فروکش	reduksuon
diminution	کاهش؛ فروکش	diminusuon
abbaye	خانقاه	abau
alphabet	الفبا؛ مبانی اولیه	alfabe
rudiments	الفبا؛ مبانی اولیه	rudiman
abdiquer	کناره‌گیری کردن؛ واگذار کردن	abdike
cavité abdominale	شکم؛ بطن	kavite abdominal
ventre	شکم؛ بطن	vantr
abdominal	شکمی؛ بطنی	abdominal
abdo	شکمی؛ بطنی	abdo
ravir	ربودن	ravir
enlever	ربودن	anlve
abducteur	آدمدزد؛ آدمربا	abduktoer
abducteuse	آدمدزد؛ آدمربا	abdukteuz
vacant	بی تکلیفی	vakan
vacance	بی تکلیفی	vakans
continuel	وفا کننده	kontinuel
sempiternel	وفا کننده	sanpiternel
capacité	توانایی	kapasite
aptitude	توانایی	aptitud
abjecte	خوار و زار	abzhekt
méprisable	خوار و زار	meprizabl
embrasé	افروخته	anbraze
en flammes	افروخته	an flam
capable	قادر	kapabl
abnégation	کف نفس	abnegasuon
anormal	غیر عادی	anormal
hors norme	غیر عادی	or norm
anomalie	نابههنجاری	anomali
anormalité	نابههنجاری	anormalite
demeure	بودباش	demoer
domicile	بودباش	domisil
abolir	لغو کردن	abolir
supprimer	لغو کردن	suprime
abolissement	نسخ؛ برانداختگی	abolisman
abrogation	نسخ؛ برانداختگی	abrogasuon
terrible	مکروه	teribl
horrible	مکروه	oribl
abomination	عمل شنیع	abominasuon
échouer	سقط کردن؛ ریشه نکردن	eshue
s'arrêter	سقط کردن؛ ریشه نکردن	sarete
IVG	سقط جنین	ivg
avortement	سقط جنین	avorteman
abortif	عقیم	abortif
foisonner	زیاد بودن؛ وفور داشتن	fwazone
abonder	زیاد بودن؛ وفور داشتن	abonde
au sujet de	درباره، حدوداً	o suzhe de-
environ	درباره، حدوداً	anviron
au-dessus de	بالای، بالاتر	odesu de-
Abraham	ابراهیم؛ ابراهیم پیامبر	abraam
abrasion	خراش؛ سیش	abrazuon
abrégée	مجمل؛ تلخیص شده	abrezhe
à l'étranger	خارج از کشور	a letranzhe
brusque	تند؛ ناگهان	brusk
precipité	تند؛ ناگهان	presipite
abruptement	بی مقدمه	abruptman
tout d'un coup	بی مقدمه	tu dun ku
abcès	آبسه	abse
abcéder	آبسه	absede
absence	غیبت	absans
absent	غایب	absan
s'absenter	غایب	sabsante
absolu	مطلق؛ محض	absolu
absolument	مطلقا؛ مطلقاً	absoluman
absorber	جذب کردن	absorbe
éponger	جذب کردن	eponzhe
absorbant	جاذب؛ نشاف	absorban
absorption	جذب؛ انجذاب	absorpsuon
s'abstenir	نکول کردن؛ خودداری کردن	sabstnir
abstinence	نکول	abstinans
abstention	نکول	abstansuon
abstrait	انتزاعی	abstre
résumé	انتزاعی	rezume
abstraction	انتزاع؛ تجرید	abstraksuon
abstrus	غامض؛ مغلق	abstru
absurde	پوچ	absurd
abondance	فراوانی	abondans
abondant	انبوه؛ وافر	abondan
abondamment	بفراوانی	abondaman
abus	سوء استفاده	abu
maltraiter	سوء استفاده	maltrete
abîme	مغاک؛ حضیض	abim
abysse	مغاک؛ حضیض	abis
acacia	اقاقیا	akasua
scolaire	تحصیلی؛ آکادمیک	skoler
académique	تحصیلی؛ آکادمیک	akademik
académie	آکادمی	akademi
accélérer	تسریع کردن	akselere
dialecte	لهجه	dualekt
patois	لهجه	patwa
accepter	پذیرفتن	aksepte
acceptable	پذیرفتنی؛ موجه	akseptabl
acceptation	پذیرش	akseptasuon
accès	دسترسی؛ دستیابی	akse
accéder	دسترسی؛ دستیابی	aksede
accessible	قابل دسترس	aksesibl
accession	جلوس؛ جلوس کردن	aksesuon
accessoire	هم دست	akseswar
accident	تصادف	aksidan
accidentel	عرضی؛ تصادفی	aksidantel
accidentellement	تصادفی	aksidantelman
acclamation	احسنت	aklamasuon
accommoder	جا دادن	akomode
accompagnement	دم گیری	akonpanue-man
accompagner	توام کردن؛ بدرقه کردن	akonpanue
complice	دستیار؛ همداستان	konplis
accomplir	انجام دادن	akonplir
accomplissement	دستاورد	akonplisman
entente	طیب خاطر	antant
accorder	طیب خاطر	akorde
accordance	مطابقت	akordans
en conséquence	بر این اساس	an konsekans
selon	طبق، بر اساس	selon
d'après	طبق، بر اساس	dapre
compte	حساب؛ گزارش	kont
récit	حساب؛ گزارش	resi
responsabilité	مسئولیت‌پذیری	responsabilite
engagement responsable	مسئولیت‌پذیری	angazhman responsabl
expliquable	مسئول	eksplikabl
responsable	مسئول	responsabl
comptable	حسابدار	kontabl
expert-comptable	حسابدار	eksperkontabl
comptabilité	محاسبه؛ حسابداری	kontabilite
accroître	منتج گردیدن	akrwatr
accumuler	انباشت کردن	akumule
collection	انباشت	koleksuon
précision	دقت	presizuon
exactitude	دقت	egzaktitud
précis	دقیق؛ راستین	presi
exact	دقیق؛ راستین	egzakt
précisément	با دقت	presizeman
accusation	اتهام	akuzasuon
accuser	متهم کردن؛ تهمت زدن	akuze
accusé	متهم	akuze
accoutumer	عادی کردن؛ خو دادن	akutume
as	کلمات میید	as
iota	کلمات میید	uota
atteindre	دست یافتن	atendr
succès	کار بزرگ	sukse
réalisation	کار بزرگ	realizasuon
acide	اسید؛ اسیدی	asid
aigre	اسید؛ اسیدی	egr
reconnaître	اقرار کردن	rekonetr
certifier	اقرار کردن	sertifue
aveu	اقرار؛ شهادت نامه	aveu
confession	اقرار؛ شهادت نامه	konfesuon
force de l'âge	نقطه کمال	fors de- lazh
acmé	نقطه کمال	akme
acné	جوش؛ غرور جوانی	akne
relation	معرفت؛ آشنا	relasuon
accointance	معرفت؛ آشنا	akwentans
familier	بلد؛ شناسا	familue
au courant	بلد؛ شناسا	o kuran
acquiescer	تن در دادن	akuese
consentir	تن در دادن	konsantir
acquérir	اندوختن	akerir
apprentissage	اکتساب	aprantisazh
acquittement	تبرئه؛ برائت ذمه	akitman
relaxe	تبرئه؛ برائت ذمه	relaks
acre	جریب	akr
âcre	تند؛ گس	akr
à travers	از عرض، سراسر	a traver
de l'autre côté de	از عرض، سراسر	de- lotr kote de-
agir	عمل کردن، نقش بازی کردن	azhir
acte	عمل کردن، نقش بازی کردن	akt
action légale	عمل، اقدام	aksuon legal
action en justice	عمل، اقدام	aksuon an zhustis
activer	فعال کردن	aktive
actionner	فعال کردن	aksuone
activation	فعال‌سازی	aktivasuon
actif	فعال	aktif
activement	فعالانه	aktivman
militant	کنشگر	militan
activiste	کنشگر	aktivist
activité	فعالیت	aktivite
acteur	بازیگر (مرد)	aktoer
actrice	بازیگر (مرد)	aktris
réel	حالی	reel
véritable	حالی	veritabl
en fait	در واقع	an fe
effectivement	در واقع	efektivman
acupuncture	سوزن درمانی؛ طب سوزنی	akupunktur
aigu	حاد	egu
aiguë	حاد	egu
acuité	ذکاوت	akuite
tranchant	ذکاوت	transhan
pub	بلد؛ ضال	poeb
ap. J.-C.	بلد؛ ضال	ap zhise
inflexible	یکدنده	enfleksibl
catégorique	یکدنده	kategorik
adapter	تطبیق دادن	adapte
s'adapter	تطبیق دادن	sadapte
adaptation	انطباق	adaptasuon
ajouter	اضافه کردن	azhute
sommer	اضافه کردن	some
vipère	افزیشگر؛ مار جعفری	viper
dépendant	معتاد؛ افیونی	depandan
