неопределённый артикль	یک (حرف تعریف نامعین)	neapredelyonnyy artikl
один	یک (حرف تعریف نامعین)	odin
счёты	چرتکه	schyoty
абак	چرتکه	abak
бросать	رها کردن؛ ترک کردن	brosat
покидать	رها کردن؛ ترک کردن	pokidat
оставление	ترک؛ رهاسازی	ostavleniye
отказ	ترک؛ رهاسازی	otkaz
уменьшение	کاهش؛ فروکش	umensheniye
уступка	کاهش؛ فروکش	ustupka
монастырь	خانقاه	manastyr
аббатство	خانقاه	abbatstva
алфавит	الفبا؛ مبانی اولیه	alfavit
азбука	الفبا؛ مبانی اولیه	azbuka
отказаться	کناره‌گیری کردن؛ واگذار کردن	atkazatsya
отказываться	کناره‌گیری کردن؛ واگذار کردن	atkazyvatsya
живот	شکم؛ بطن	zhivot
брюшко	شکم؛ بطن	bryushko
брюшной	شکمی؛ بطنی	bryushnoy
набрюшный	شکمی؛ بطنی	nabryushnyy
увезти	ربودن	uvezti
похитить	ربودن	pakhitit
похититель	آدمدزد؛ آدمربا	pakhititel
похитительница	آدمدزد؛ آدمربا	pakhititelnitsa
состояние неопределённости	بی تکلیفی	sostoyaniye neapredelyonnasti
приостановление	بی تکلیفی	priostanovleniye
постоянный	وفا کننده	postoyannyy
неизменный	وفا کننده	neizmennyy
способность	توانایی	spasobnast
умение	توانایی	umeniye
жалкий	خوار و زار	zhalkiy
униженный	خوار و زار	unizhennyy
горящий	افروخته	goryashchiy
сверкающий	افروخته	sverkayushchiy
знающий	قادر	znayushchiy
умелый	قادر	umelyy
самоотречение	کف نفس	samaatrecheniye
уродливый	غیر عادی	urodlivyy
ненормальный	غیر عادی	nenarmalnyy
уродство	نابههنجاری	urodstva
ненормальность	نابههنجاری	nenarmalnast
жилище	بودباش	zhilishche
обитель	بودباش	abitel
уничтожать	لغو کردن	unichtazhat
отменять	لغو کردن	atmenyat
уничтожение	نسخ؛ برانداختگی	unichtazheniye
ликвидация	نسخ؛ برانداختگی	likvidatsiya
отвратительный	مکروه	atvratitelnyy
отвращение	عمل شنیع	otvrashcheniye
омерзение	عمل شنیع	omerzeniye
аборт	سقط کردن؛ ریشه نکردن	abort
выкидыш	سقط کردن؛ ریشه نکردن	vykidysh
абортивный	عقیم	abartivnyy
мертворождённый	عقیم	mertvarazhdyonnyy
изобиловать	زیاد بودن؛ وفور داشتن	izabilavat
окрест	درباره، حدوداً	akrest
о	درباره، حدوداً	o
выше	بالای، بالاتر	vyshe
наверху	بالای، بالاتر	naverkhu
Авраам	ابراهیم؛ ابراهیم پیامبر	avraam
Абрам	ابراهیم؛ ابراهیم پیامبر	abram
царапина	خراش؛ سیش	tsarapina
ссадина	خراش؛ سیش	ssadina
сокращённый	مجمل؛ تلخیص شده	sakrashchyonnyy
граница	خارج از کشور	granitsa
заграница	خارج از کشور	zagranitsa
крутой	تند؛ ناگهان	krutoy
дробный	تند؛ ناگهان	drobnyy
резко	بی مقدمه	rezka
абсцесс	آبسه	abstsess
гнойник	آبسه	gnaynik
пропуск	غیبت	propusk
отлучка	غیبت	atluchka
отсутствующий	غایب	otsutstvuyushchiy
отсутствовать	غایب	otsutstvovat
прогульщик	غیب؛ غیابی	pragulshchik
прогульщица	غیب؛ غیابی	pragulshchitsa
положительный	مطلق؛ محض	palazhitelnyy
совершенный	مطلق؛ محض	savershennyy
абсолютно	مطلقا؛ مطلقاً	absalyutna
решительно	مطلقا؛ مطلقاً	reshitelna
пропускать	جذب کردن	prapuskat
поглотить	جذب کردن	paglatit
поглотитель	جاذب؛ نشاف	paglatitel
поглощение	جذب؛ انجذاب	paglashcheniye
всасывание	جذب؛ انجذاب	vsasyvaniye
воздержаться	نکول کردن؛ خودداری کردن	vazderzhatsya
воздерживаться	نکول کردن؛ خودداری کردن	vazderzhivatsya
воздержание	نکول	vazderzhaniye
неучастие	نکول	neuchastiye
конспект	انتزاعی	kanspekt
реферат	انتزاعی	referat
абстракция	انتزاع؛ تجرید	abstraktsiya
отвлечение	انتزاع؛ تجرید	atvlecheniye
мудрёный	غامض؛ مغلق	mudryonyy
академичный	غامض؛ مغلق	akademichnyy
смешной	پوچ	smeshnoy
нелепый	پوچ	nelepyy
абсурд	مزخرف بودن	absurd
нелепость	مزخرف بودن	nelepast
урожай	فراوانی	urazhay
изобилие	فراوانی	izabiliye
обильный	انبوه؛ وافر	abilnyy
хлебный	انبوه؛ وافر	khlebnyy
обильно	بفراوانی	obilno
изобильно	بفراوانی	izobilno
ругань	سوء استفاده	rugan
брань	سوء استفاده	bran
оскорбительный	فحاش؛ سوء استعمال	askarbitelnyy
бранный	فحاش؛ سوء استعمال	brannyy
пропасть	مغاک؛ حضیض	propast
бездна	مغاک؛ حضیض	bezdna
акация	اقاقیا	akatsiya
академический	تحصیلی؛ آکادمیک	akademicheskiy
академия	آکادمی	akademiya
ускорить	تسریع کردن	uskorit
ускорять	تسریع کردن	uskaryat
акцент	لهجه	aktsent
выговор	لهجه	vygavar
принять	پذیرفتن	prinyat
принимать	پذیرفتن	prinimat
приемлемый	پذیرفتنی؛ موجه	priyemlemyy
принятие	پذیرش	prinyatiye
акцепт	پذیرش	aktsept
доступ	دسترسی؛ دستیابی	dostup
доступный	قابل دسترس	dastupnyy
достижимый	قابل دسترس	dastizhimyy
воцарение	جلوس؛ جلوس کردن	vatsareniye
сообщник	هم دست	saobshchnik
